Human.Uniprot	Human.Ensembl	Mouse.Uniprot	Mouse.Ensembl	Hum.gene.syb
Q9BQS8	ENSG00000163820	Q8VDC1	ENSMUSG00000025241	FYCO1
Q8WWW0	ENSG00000266094	Q5EBH1	ENSMUSG00000026430	RASSF5
P48668	ENSG00000170465	P50446	ENSMUSG00000058354	KRT6C
Q9UHK6	ENSG00000242110	O09174	ENSMUSG00000022244	AMACR
Q9UL54	ENSG00000149930	Q6ZQ29	ENSMUSG00000059981	TAOK2
A6NM03	ENSG00000188124	Q9D3U9	ENSMUSG00000036744	OR2AG2
Q96EZ8	ENSG00000187778	Q99L90	ENSMUSG00000037570	MCRS1
Q5XUX1	ENSG00000132004	F8VPX2	ENSMUSG00000008167	FBXW9
Q9BS92	ENSG00000165028	Q9CQE1	ENSMUSG00000015247	NIPSNAP3B
A0FGR9	ENSG00000158220	Q5DTI8	ENSMUSG00000037681	ESYT3
P35240	ENSG00000186575	P46662	ENSMUSG00000009073	NF2
Q96RW7	ENSG00000143341	D3YXG0	ENSMUSG00000066842	HMCN1
P08107	ENSG00000235941	Q61696	ENSMUSG00000091971	HSPA1A; HSPA1B
P08107	ENSG00000234475	Q61696	ENSMUSG00000091971	HSPA1A; HSPA1B
P08107	ENSG00000237724	Q61696	ENSMUSG00000091971	HSPA1A; HSPA1B
P08107	ENSG00000204389	Q61696	ENSMUSG00000091971	HSPA1A; HSPA1B
P08107	ENSG00000215328	Q61696	ENSMUSG00000091971	HSPA1A; HSPA1B
P08107	ENSG00000212866	Q61696	ENSMUSG00000091971	HSPA1A; HSPA1B
P08107	ENSG00000232804	Q61696	ENSMUSG00000091971	HSPA1A; HSPA1B
P08107	ENSG00000204388	Q61696	ENSMUSG00000091971	HSPA1A; HSPA1B
P08107	ENSG00000224501	Q61696	ENSMUSG00000091971	HSPA1A; HSPA1B
P08107	ENSG00000231555	Q61696	ENSMUSG00000091971	HSPA1A; HSPA1B
Q7Z5N4	ENSG00000146555	Q3UH53	ENSMUSG00000039683	SDK1
Q56UN5	ENSG00000176601	E9Q3S4	ENSMUSG00000051590	MAP3K19
P13236	ENSG00000276070	P14097	ENSMUSG00000018930	CCL4
P13236	ENSG00000275313	P14097	ENSMUSG00000018930	CCL4
P13236	ENSG00000275824	P14097	ENSMUSG00000018930	CCL4
P13236	ENSG00000275302	P14097	ENSMUSG00000018930	CCL4
P13236	ENSG00000277943	P14097	ENSMUSG00000018930	CCL4
Q9BVN2	ENSG00000160753	Q8BG26	ENSMUSG00000041263	RUSC1
O15173	ENSG00000164040	Q80UU9	ENSMUSG00000049940	PGRMC2
Q02410	ENSG00000107282	B2RUJ5	ENSMUSG00000024897	APBA1
Q02410	ENSG00000276497	B2RUJ5	ENSMUSG00000024897	APBA1
Q86XK2	ENSG00000138081	Q7TPD1	ENSMUSG00000005371	FBXO11
A6NNU9	-	Q6XAR7	ENSMUSG00000068219	-
Q8N0Y3	ENSG00000183706	Q8VFT5	ENSMUSG00000091873	OR4N4
Q8N0Y3	ENSG00000274792	Q8VFT5	ENSMUSG00000091873	OR4N4
Q8N0Y3	ENSG00000278178	Q8VFT5	ENSMUSG00000091873	OR4N4
Q69YU3	ENSG00000272031	B2RW11	ENSMUSG00000049097	ANKRD34A
Q9Y547	ENSG00000081870	Q9D6H2	ENSMUSG00000063172	HSPB11
Q15166	ENSG00000105852	Q62087	ENSMUSG00000029759	PON3
P05813	ENSG00000108255	P02525	ENSMUSG00000000724	CRYBA1
Q96BK5	ENSG00000254093	Q9CZX5	ENSMUSG00000021958	PINX1
P07858	ENSG00000164733	P10605	ENSMUSG00000021939	CTSB
Q8WV22	ENSG00000169189	Q9D720	ENSMUSG00000030750	NSMCE1
Q9NQV5	ENSG00000019485	A2AGX3	ENSMUSG00000075028	PRDM11
Q6NUJ2	ENSG00000185742	Q32M26	ENSMUSG00000078307	C11orf87
O14921	ENSG00000127074	Q8K443	ENSMUSG00000051079	RGS13
Q9BYR0	ENSG00000266286	B1AQA7	ENSMUSG00000078668	KRTAP4-7
O95057	ENSG00000176490	Q91Z61	ENSMUSG00000043670	DIRAS1
Q969L4	ENSG00000181817	Q8QZX5	ENSMUSG00000050188	LSM10
Q68D06	ENSG00000154760	B1ARD8	ENSMUSG00000035208	SLFN13
Q9P1W9	ENSG00000102096	Q62070	ENSMUSG00000031155	PIM2
Q13127	ENSG00000084093	Q8VIG1	ENSMUSG00000029249	REST
O15126	ENSG00000085365	Q8K021	ENSMUSG00000021687	SCAMP1
Q5VWP3	ENSG00000146147	Q5FW52	ENSMUSG00000032355	MLIP
P29373	ENSG00000143320	P22935	ENSMUSG00000004885	CRABP2
O94874	ENSG00000014123	Q8CCJ3	ENSMUSG00000040359	UFL1
Q8NFP4	ENSG00000112139	Q0PMG2	ENSMUSG00000043557	MDGA1
Q9BSE2	ENSG00000163472	Q9D709	ENSMUSG00000001420	TMEM79
P0CI25	ENSG00000168930	P86448	ENSMUSG00000079162	TRIM49
P02538	ENSG00000205420	P50446	ENSMUSG00000058354	KRT6A
O15068	ENSG00000126217	Q64096	ENSMUSG00000031442	MCF2L
P05177	ENSG00000140505	P00186	ENSMUSG00000032310	CYP1A2
A6NJZ3	ENSG00000205328	Q8VGI8	ENSMUSG00000049894	OR6C65
Q33E94	ENSG00000111783	Q7TNK1	ENSMUSG00000020037	RFX4
Q16384	ENSG00000126752	Q6XAR7	ENSMUSG00000068219	SSX1
P13716	ENSG00000148218	P10518	ENSMUSG00000028393	ALAD
Q14137	ENSG00000261236	P97452	ENSMUSG00000022557	BOP1
O15400	ENSG00000079950	O70439	ENSMUSG00000019998	STX7
Q8IXK0	ENSG00000134686	Q9QWH1	ENSMUSG00000028796	PHC2
Q14160	ENSG00000274287	Q80U72	ENSMUSG00000022568	SCRIB
Q14160	ENSG00000180900	Q80U72	ENSMUSG00000022568	SCRIB
Q8NH79	ENSG00000221931	Q8VFN6	ENSMUSG00000051095	OR6X1
Q9BYN8	ENSG00000125901	Q80ZS3	ENSMUSG00000037740	MRPS26
Q13148	ENSG00000120948	Q921F2	ENSMUSG00000041459	TARDBP
Q9H3M0	ENSG00000162975	Q7TSH7	ENSMUSG00000051726	KCNF1
O60500	ENSG00000161270	Q9QZS7	ENSMUSG00000006649	NPHS1
O00411	ENSG00000099821	Q8BKF1	ENSMUSG00000020329	POLRMT
Q99469	ENSG00000144681	P97306	ENSMUSG00000032502	STAC
Q6UXF1	ENSG00000144868	Q8BHE4	ENSMUSG00000042757	TMEM108
Q9Y5K6	ENSG00000198087	Q9JLQ0	ENSMUSG00000061665	CD2AP
P27708	ENSG00000084774	B2RQC6	ENSMUSG00000013629	CAD
Q8IWZ3	ENSG00000254996	E9PUR0	ENSMUSG00000024483	ANKHD1
Q8IWZ3	ENSG00000131503	E9PUR0	ENSMUSG00000024483	ANKHD1
Q4KWH8	ENSG00000114805	Q4KWH5	ENSMUSG00000036834	PLCH1
Q9BUD6	ENSG00000159674	Q8BMS2	ENSMUSG00000037379	SPON2
P56817	ENSG00000186318	P56818	ENSMUSG00000032086	BACE1
P33993	ENSG00000166508	Q61881	ENSMUSG00000029730	MCM7
Q9Y255	ENSG00000169230	Q8R107	ENSMUSG00000021486	PRELID1
P60321	ENSG00000188425	P60322	ENSMUSG00000051965	NANOS2
Q96HA9	ENSG00000104883	Q6P6M5	ENSMUSG00000069633	PEX11G
Q9HCS5	ENSG00000129595	P52963	ENSMUSG00000024376	EPB41L4A
Q9UQC9	ENSG00000137975	Q8BG22	ENSMUSG00000036960	CLCA2
Q9BW11	ENSG00000213347	Q80US8	ENSMUSG00000021485	MXD3
Q8TC76	ENSG00000169122	Q8C739	ENSMUSG00000049119	FAM110B
Q8WUG5	ENSG00000092096	Q9D9E0	ENSMUSG00000022199	SLC22A17
Q7LDG7	ENSG00000068831	Q9QUG9	ENSMUSG00000032946	RASGRP2
Q7LDG7	ENSG00000068831	Q9QUG9	ENSMUSG00000106685	RASGRP2
Q9H2F3	ENSG00000099377	P24815	ENSMUSG00000027871	HSD3B7
Q8IWB9	ENSG00000136478	Q6ZPJ0	ENSMUSG00000040548	TEX2
Q8WXT5	ENSG00000184659	Q60688	ENSMUSG00000051490	FOXD4L4
O60235	ENSG00000153802	Q8VHK8	ENSMUSG00000061259	TMPRSS11D
Q16654	ENSG00000004799	O70571	ENSMUSG00000019577	PDK4
Q5VV42	ENSG00000145996	Q91WE6	ENSMUSG00000006191	CDKAL1
Q9BYQ5	ENSG00000198090	B1AQB1	ENSMUSG00000078260	KRTAP4-6
P78536	ENSG00000151694	Q9Z0F8	ENSMUSG00000052593	ADAM17
Q9NVV5	ENSG00000146416	Q9D8B1	ENSMUSG00000019806	AIG1
Q8WWZ3	ENSG00000186197	Q8VHX2	ENSMUSG00000095105	EDARADD
Q8IVL0	ENSG00000067798	Q80TN7	ENSMUSG00000020181	NAV3
O14949	ENSG00000164405	Q9CQ69	ENSMUSG00000044894	UQCRQ
P0C1Z6	ENSG00000276296	Q3U1J1	ENSMUSG00000006335	TFPT
P0C1Z6	ENSG00000105619	Q3U1J1	ENSMUSG00000006335	TFPT
P0C1Z6	ENSG00000276263	Q3U1J1	ENSMUSG00000006335	TFPT
P0C1Z6	ENSG00000276022	Q3U1J1	ENSMUSG00000006335	TFPT
P0C1Z6	ENSG00000274073	Q3U1J1	ENSMUSG00000006335	TFPT
P0C1Z6	ENSG00000276504	Q3U1J1	ENSMUSG00000006335	TFPT
P0C1Z6	ENSG00000275086	Q3U1J1	ENSMUSG00000006335	TFPT
P0C1Z6	ENSG00000278161	Q3U1J1	ENSMUSG00000006335	TFPT
P0C1Z6	ENSG00000273833	Q3U1J1	ENSMUSG00000006335	TFPT
P0C1Z6	ENSG00000276323	Q3U1J1	ENSMUSG00000006335	TFPT
P54289	ENSG00000153956	O08532	ENSMUSG00000040118	CACNA2D1
Q7Z6I6	ENSG00000186517	Q640N3	ENSMUSG00000048865	ARHGAP30
Q5TGZ0	ENSG00000173436	Q7TNS2	ENSMUSG00000050608	MINOS1
Q96DX8	ENSG00000136514	Q9ER80	ENSMUSG00000033355	RTP4
B3EWG4	-	Q8CF02	ENSMUSG00000043681	-
Q6ZMR5	ENSG00000187054	Q3UQ41	ENSMUSG00000072845	TMPRSS11A
P27816	ENSG00000047849	P27546	ENSMUSG00000032479	MAP4
Q16538	ENSG00000250510	Q3UN16	ENSMUSG00000038390	GPR162
C9JRZ8	ENSG00000227471	P45377	ENSMUSG00000029762	AKR1B15
Q9GZK3	ENSG00000168131	Q7TQU5	ENSMUSG00000108674	OR2B2
Q8TCU4	ENSG00000116127	Q8K4E0	ENSMUSG00000063810	ALMS1
Q9H7Z7	ENSG00000148334	Q8BWM0	ENSMUSG00000026820	PTGES2
Q31612	ENSG00000232126	P79568	ENSMUSG00000073409	HLA-B
Q31612	ENSG00000224608	P79568	ENSMUSG00000073409	HLA-B
Q31612	ENSG00000206450	P79568	ENSMUSG00000073409	HLA-B
Q31612	ENSG00000223532	P79568	ENSMUSG00000073409	HLA-B
Q31612	ENSG00000228964	P79568	ENSMUSG00000073409	HLA-B
Q31612	ENSG00000234745	P79568	ENSMUSG00000073409	HLA-B
Q9H5I1	ENSG00000152455	Q9EQQ0	ENSMUSG00000026646	SUV39H2
P31431	ENSG00000124145	O35988	ENSMUSG00000017009	SDC4
P02775	ENSG00000163736	Q9EQI5	ENSMUSG00000029372	PPBP
Q9Y561	ENSG00000147650	Q8BUJ9	ENSMUSG00000022305	LRP12
P23759	ENSG00000009709	P47239	ENSMUSG00000028736	PAX7
A6NN90	ENSG00000284308	Q9DAQ4	ENSMUSG00000030030	C2orf81
Q6UXV4	ENSG00000155008	Q78IK4	ENSMUSG00000025525	APOOL
Q9NRR6	ENSG00000148384	Q9JII1	ENSMUSG00000026925	INPP5E
P54756	ENSG00000145242	Q60629	ENSMUSG00000029245	EPHA5
P21796	ENSG00000213585	Q60932	ENSMUSG00000020402	VDAC1
P35556	ENSG00000138829	Q61555	ENSMUSG00000024598	FBN2
Q14439	ENSG00000166073	Q80WT4	ENSMUSG00000040133	GPR176
Q7RTT3	ENSG00000204648	A2BI73	ENSMUSG00000079704	SSX9
P55286	ENSG00000150394	P97291	ENSMUSG00000036510	CDH8
Q66K14	ENSG00000197226	Q5SVR0	ENSMUSG00000036644	TBC1D9B
Q66K14	ENSG00000284400	Q5SVR0	ENSMUSG00000036644	TBC1D9B
A8MYU2	ENSG00000215262	O54982	ENSMUSG00000031576	KCNU1
O60687	ENSG00000102359	Q8R054	ENSMUSG00000031253	SRPX2
Q9NS84	ENSG00000147119	Q9EP78	ENSMUSG00000037347	CHST7
Q6VB85	ENSG00000184659	Q60688	ENSMUSG00000051490	FOXD4L4
Q14435	ENSG00000115339	P70419	ENSMUSG00000026994	GALNT3
Q96BV0	ENSG00000196456	Q8BI73	ENSMUSG00000007216	ZNF775
Q9H841	ENSG00000104361	Q91WC7	ENSMUSG00000038879	NIPAL2
Q14257	ENSG00000117906	Q8BP92	ENSMUSG00000032320	RCN2
Q15038	ENSG00000183283	Q9DCP9	ENSMUSG00000000346	DAZAP2
Q14147	ENSG00000134815	Q9DBV3	ENSMUSG00000006019	DHX34
P22681	ENSG00000110395	P22682	ENSMUSG00000034342	CBL
P05026	ENSG00000143153	P14094	ENSMUSG00000026576	ATP1B1
Q8IY82	ENSG00000159625	Q6V3W6	ENSMUSG00000031786	DRC7
P28356	ENSG00000128709	P28357	ENSMUSG00000043342	HOXD9
P13224	ENSG00000203618	P56400	ENSMUSG00000050761	GP1BB
Q96GC9	ENSG00000062716	Q99KU0	ENSMUSG00000018171	VMP1
O43353	ENSG00000104312	P58801	ENSMUSG00000041135	RIPK2
Q0JRZ9	ENSG00000157107	Q3UQN2	ENSMUSG00000041685	FCHO2
P08861	ENSG00000219073	Q9CQ52	ENSMUSG00000023433	CELA3B
Q3MII6	ENSG00000068354	A1A5B6	ENSMUSG00000039201	TBC1D25
Q8IY67	ENSG00000161847	Q9CW46	ENSMUSG00000010205	RAVER1
P08912	ENSG00000184984	Q920H4	ENSMUSG00000074939	CHRM5
Q562E7	ENSG00000276021	Q5ND34	ENSMUSG00000045374	WDR81
Q562E7	ENSG00000167716	Q5ND34	ENSMUSG00000045374	WDR81
Q96LA8	ENSG00000198890	Q6NZB1	ENSMUSG00000049300	PRMT6
P16383	ENSG00000005436	Q8BKT3	ENSMUSG00000035125	GCFC2
Q969G3	ENSG00000073584	O54941	ENSMUSG00000037935	SMARCE1
Q8WUD1	ENSG00000129472	P59279	ENSMUSG00000022159	RAB2B
Q6ZR08	ENSG00000174844	Q3V0Q1	ENSMUSG00000021879	DNAH12
A4D0V7	ENSG00000106034	B2RX70	ENSMUSG00000062980	CPED1
P01570	ENSG00000228083	P01572	ENSMUSG00000095498	IFNA14
P13747	ENSG00000206493	O19441	ENSMUSG00000079507	HLA-E
P13747	ENSG00000225201	O19441	ENSMUSG00000079507	HLA-E
P13747	ENSG00000233904	O19441	ENSMUSG00000079507	HLA-E
P13747	ENSG00000204592	O19441	ENSMUSG00000079507	HLA-E
P13747	ENSG00000236632	O19441	ENSMUSG00000079507	HLA-E
P13747	ENSG00000230254	O19441	ENSMUSG00000079507	HLA-E
P13747	ENSG00000229252	O19441	ENSMUSG00000079507	HLA-E
Q9NQ40	ENSG00000101276	Q9D6X5	ENSMUSG00000027463	SLC52A3
Q8NBV4	ENSG00000160539	Q91WB2	ENSMUSG00000051373	PLPP7
Q9BR09	ENSG00000124257	Q9D0S4	ENSMUSG00000039873	NEURL2
Q96T23	ENSG00000048649	E9Q4Y2	-	RSF1
Q96GE4	ENSG00000258890	Q8BVV7	ENSMUSG00000018372	CEP95
Q58HT5	ENSG00000204195	A2ADU9	ENSMUSG00000015665	AWAT1
O95447	ENSG00000157578	Q8C0X0	ENSMUSG00000045275	LCA5L
O14966	ENSG00000117280	Q91YQ1	ENSMUSG00000026433	RAB29
Q6QN14	ENSG00000205946	E9Q9U0	ENSMUSG00000062369	USP17L6P
Q96HY7	ENSG00000181192	A2ATU0	ENSMUSG00000025815	DHTKD1
Q7RTZ2	ENSG00000230549	Q7M764	ENSMUSG00000043073	USP17L1
Q9Y508	ENSG00000124226	Q9ET26	ENSMUSG00000006418	RNF114
O94885	ENSG00000111961	P59808	ENSMUSG00000015305	SASH1
Q6H3X3	ENSG00000203722	O08604	ENSMUSG00000053219	RAET1G
Q96FX8	ENSG00000112378	Q9JK95	ENSMUSG00000019851	PERP
Q9H9R9	ENSG00000003249	Q9CZ00	ENSMUSG00000031970	DBNDD1
Q8WX77	ENSG00000137142	Q80W15	ENSMUSG00000035551	IGFBPL1
A6NK89	ENSG00000189431	Q8BL43	ENSMUSG00000098132	RASSF10
P50458	ENSG00000106689	Q9Z0S2	ENSMUSG00000000247	LHX2
Q9BWH2	ENSG00000165775	Q9D6K8	ENSMUSG00000031198	FUNDC2
Q9BYE9	ENSG00000074276	E9Q7P9	ENSMUSG00000034918	CDHR2
Q96A57	ENSG00000089063	Q8CIB6	ENSMUSG00000027341	TMEM230
Q7Z6L0	ENSG00000167371	E9PUL5	ENSMUSG00000045114	PRRT2
P05937	ENSG00000104327	P12658	ENSMUSG00000028222	CALB1
P23141	ENSG00000198848	Q8VCT4	ENSMUSG00000056973	CES1
P23141	ENSG00000262243	Q8VCT4	ENSMUSG00000056973	CES1
Q96D71	ENSG00000135597	O54916	ENSMUSG00000019854	REPS1
P09544	ENSG00000105989	P21552	ENSMUSG00000010797	WNT2
P47755	ENSG00000198898	P47754	ENSMUSG00000015733	CAPZA2
Q92764	ENSG00000197079	Q497I4	ENSMUSG00000048013	KRT35
O95672	ENSG00000171551	Q9JMI0	ENSMUSG00000026247	ECEL1
P59543	ENSG00000282612	Q7M721	ENSMUSG00000059382	TAS2R20
P59543	ENSG00000255837	Q7M721	ENSMUSG00000059382	TAS2R20
P59543	ENSG00000273092	Q7M721	ENSMUSG00000059382	TAS2R20
Q709F0	ENSG00000240303	Q80XL6	ENSMUSG00000090150	ACAD11
P01566	ENSG00000186803	Q80SU4	ENSMUSG00000063376	IFNA10
Q13433	ENSG00000141424	Q8C145	ENSMUSG00000024270	SLC39A6
B2RNN3	ENSG00000205863	Q4ZJN1	ENSMUSG00000071347	C1QTNF9B
Q16384	ENSG00000126752	B1AY40	ENSMUSG00000079703	SSX1
Q56P03	ENSG00000129518	Q5BU09	ENSMUSG00000054302	EAPP
Q7L1V2	ENSG00000103111	Q8BMQ8	ENSMUSG00000078908	MON1B
P01891	ENSG00000229215	P14430	ENSMUSG00000073409	HLA-A
P01891	ENSG00000231834	P14430	ENSMUSG00000073409	HLA-A
P01891	ENSG00000224320	P14430	ENSMUSG00000073409	HLA-A
P01891	ENSG00000235657	P14430	ENSMUSG00000073409	HLA-A
P01891	ENSG00000206503	P14430	ENSMUSG00000073409	HLA-A
P01891	ENSG00000227715	P14430	ENSMUSG00000073409	HLA-A
P01891	ENSG00000206505	P14430	ENSMUSG00000073409	HLA-A
P01891	ENSG00000223980	P14430	ENSMUSG00000073409	HLA-A
Q9H9Y6	ENSG00000125630	P70700	ENSMUSG00000027395	POLR1B
Q92747	ENSG00000241685	Q9R0Q6	ENSMUSG00000029621	ARPC1A
P0CG35	ENSG00000269226	Q8C0W0	ENSMUSG00000072955	TMSB15B
P0CG35	ENSG00000158427	Q8C0W0	ENSMUSG00000072955	TMSB15B
P0CG35	ENSG00000158164	Q8C0W0	ENSMUSG00000072955	TMSB15B
Q96GR4	ENSG00000160446	Q8VC90	ENSMUSG00000015335	ZDHHC12
Q5TFG8	ENSG00000118491	Q9D534	ENSMUSG00000019815	ZC2HC1B
Q9UPM9	ENSG00000108641	Q9R1S0	ENSMUSG00000001039	B9D1
P78367	ENSG00000109705	P97503	ENSMUSG00000049691	NKX3-2
P17405	ENSG00000166311	Q04519	ENSMUSG00000037049	SMPD1
Q92542	ENSG00000162736	P57716	ENSMUSG00000003458	NCSTN
Q9NPQ8	ENSG00000177963	Q3TIR3	ENSMUSG00000025485	RIC8A
Q96QU8	ENSG00000169180	Q924Z6	ENSMUSG00000000131	XPO6
O94985	ENSG00000171603	Q9EPL2	ENSMUSG00000039953	CLSTN1
Q15003	ENSG00000121152	Q8C156	ENSMUSG00000034906	NCAPH
Q9Y577	ENSG00000162931	Q7TPM3	ENSMUSG00000036964	TRIM17
P63167	ENSG00000088986	P63168	ENSMUSG00000009013	DYNLL1
Q96BT3	ENSG00000102901	Q3TJM4	ENSMUSG00000036672	CENPT
Q6ZUS5	ENSG00000176714	E9Q3K0	ENSMUSG00000072722	CCDC121
Q53GS9	ENSG00000168883	Q3TIX9	ENSMUSG00000056305	USP39
Q53GS9	ENSG00000168883	Q3TIX9	ENSMUSG00000104250	USP39
Q9H2M3	ENSG00000132840	Q91WS4	ENSMUSG00000042118	BHMT2
Q9NYD6	ENSG00000180818	P31257	ENSMUSG00000022484	HOXC10
Q8NGI2	ENSG00000181074	Q7TRU8	ENSMUSG00000060759	OR52N4
O75368	ENSG00000131171	Q9JJU8	ENSMUSG00000031246	SH3BGRL
Q9NV06	ENSG00000164934	Q6PAC3	ENSMUSG00000022300	DCAF13
Q9NV06	ENSG00000164934	Q6PAC3	ENSMUSG00000106903	DCAF13
Q8TAP9	ENSG00000168303	Q9D011	ENSMUSG00000012429	MPLKIP
Q5T619	ENSG00000179930	D3Z0W3	ENSMUSG00000066797	ZNF648
Q12816	ENSG00000067445	Q6DIC6	ENSMUSG00000025272	TRO
Q9P0J0	ENSG00000186010	Q9ERS2	ENSMUSG00000048967	NDUFA13
Q9P0J0	ENSG00000186010	Q9ERS2	ENSMUSG00000036199	NDUFA13
Q8NGX9	ENSG00000186440	E9Q5P8	ENSMUSG00000051509	OR6P1
Q9BYR2	ENSG00000198271	B1AQB1	ENSMUSG00000078260	KRTAP4-5
P78368	ENSG00000133275	Q8BVP5	ENSMUSG00000003345	CSNK1G2
Q9NQ03	ENSG00000215397	Q8BTH6	ENSMUSG00000060257	SCRT2
P53634	ENSG00000109861	P97821	ENSMUSG00000030560	CTSC
Q8NH60	ENSG00000205495	E9PYB3	ENSMUSG00000073956	OR52J3
P01160	ENSG00000175206	P05125	ENSMUSG00000041616	NPPA
O75382	ENSG00000110171	Q9R1R2	ENSMUSG00000036989	TRIM3
Q7Z3Q1	ENSG00000139508	Q9DC26	ENSMUSG00000029650	SLC46A3
Q05481	ENSG00000167232	B8JJX8	ENSMUSG00000048280	ZNF91
Q9P1Q5	ENSG00000172146	Q7TRX2	ENSMUSG00000070378	OR1A1
Q86SQ9	ENSG00000117682	Q99KU1	ENSMUSG00000012117	DHDDS
A1IGU5	ENSG00000183111	A1IGU4	ENSMUSG00000045094	ARHGEF37
Q5H9E4	ENSG00000269743	A2AF28	ENSMUSG00000044348	SLC25A53
P35030	ENSG00000010438	P07146	ENSMUSG00000057163	PRSS3
Q8N3G9	ENSG00000166448	Q6NXM3	ENSMUSG00000043388	TMEM130
Q8N118	ENSG00000186377	Q6A152	ENSMUSG00000047155	CYP4X1
O43865	ENSG00000168710	Q80SW1	ENSMUSG00000027893	AHCYL1
O95528	ENSG00000197496	Q8VHD6	ENSMUSG00000027661	SLC2A10
Q8WZ92	ENSG00000276025	Q8VG07	ENSMUSG00000109631	OR5P2
Q8WZ92	ENSG00000280931	Q8VG07	ENSMUSG00000109631	OR5P2
Q8WZ92	ENSG00000183303	Q8VG07	ENSMUSG00000109631	OR5P2
Q86VZ4	ENSG00000120256	Q8CB67	ENSMUSG00000019796	LRP11
Q96FV2	ENSG00000141295	Q8VCA8	ENSMUSG00000020877	SCRN2
Q96NC0	ENSG00000146007	Q9CPW7	ENSMUSG00000001383	ZMAT2
Q5SRH9	ENSG00000085831	A2ACP1	ENSMUSG00000028555	TTC39A
P22732	ENSG00000142583	Q9WV38	ENSMUSG00000028976	SLC2A5
Q9Y6C5	ENSG00000117425	O35595	ENSMUSG00000028681	PTCH2
P56470	ENSG00000171747	Q8K419	ENSMUSG00000053964	LGALS4
P56470	ENSG00000282992	Q8K419	ENSMUSG00000053964	LGALS4
Q9NY12	ENSG00000109534	Q9CY66	ENSMUSG00000028010	GAR1
Q9NTJ5	ENSG00000211456	Q9EP69	ENSMUSG00000025240	SACM1L
Q8NEG7	ENSG00000205593	Q9D9V7	ENSMUSG00000015377	DENND6B
P27987	ENSG00000143772	B2RXC2	ENSMUSG00000038855	ITPKB
P04746	ENSG00000243480	P00687	ENSMUSG00000074264	AMY2A
P26718	ENSG00000213809	O54709	ENSMUSG00000030149	KLRK1
Q9NSY0	ENSG00000185189	Q91V36	ENSMUSG00000075590	NRBP2
A6NH57	ENSG00000141748	Q6P068	ENSMUSG00000038352	ARL5C
P56378	ENSG00000156411	P56379	ENSMUSG00000021290	MP68
Q9BWS9	ENSG00000177830	Q922Q9	ENSMUSG00000025512	CHID1
P35244	ENSG00000106399	Q9CQ71	ENSMUSG00000012483	RPA3
A6QL63	ENSG00000151136	Q6GQW0	ENSMUSG00000020042	BTBD11
Q8N4G2	ENSG00000179674	Q3SXC5	ENSMUSG00000098207	ARL14
Q96G30	ENSG00000135324	D3Z1Q2	ENSMUSG00000042761	MRAP2
Q9H6Z4	ENSG00000031823	Q9CT10	ENSMUSG00000002372	RANBP3
Q5JSQ8	ENSG00000256980	Q4KL78	ENSMUSG00000041722	KHDC1L
P09067	ENSG00000120075	P09079	ENSMUSG00000038700	HOXB5
Q8WXI9	ENSG00000143614	Q8VHR5	ENSMUSG00000042390	GATAD2B
Q8WXI9	ENSG00000261992	Q8VHR5	ENSMUSG00000042390	GATAD2B
Q8N149	ENSG00000275290	F8VQ94	ENSMUSG00000089942	LILRA2
Q8N149	ENSG00000278634	F8VQ94	ENSMUSG00000089942	LILRA2
Q8N149	ENSG00000274000	F8VQ94	ENSMUSG00000089942	LILRA2
Q8N149	ENSG00000239998	F8VQ94	ENSMUSG00000089942	LILRA2
P56537	ENSG00000242372	O55135	ENSMUSG00000027613	EIF6
Q96RD3	ENSG00000205409	Q7TRP2	ENSMUSG00000094531	OR52E6
Q9NVR0	ENSG00000178502	Q8CE33	ENSMUSG00000048732	KLHL11
Q92743	ENSG00000166033	Q9R118	ENSMUSG00000006205	HTRA1
P52907	ENSG00000116489	P47753	ENSMUSG00000070372	CAPZA1
P0CG21	ENSG00000257108	Q3UP44	ENSMUSG00000090113	NHLRC4
Q9BXW7	ENSG00000069998	Q91WM2	ENSMUSG00000058979	HDHD5
P78333	ENSG00000179399	Q8CAL5	ENSMUSG00000022112	GPC5
P27037	ENSG00000121989	P27038	ENSMUSG00000052155	ACVR2A
Q9NX18	ENSG00000167985	Q8C6I2	ENSMUSG00000024668	SDHAF2
Q8N8R5	ENSG00000178074	Q9D9H8	ENSMUSG00000038323	C2orf69
P55055	ENSG00000131408	Q60644	ENSMUSG00000060601	NR1H2
Q9P202	ENSG00000095397	Q80VW5	ENSMUSG00000039137	WHRN
Q7Z5L3	ENSG00000144119	Q8CFR0	ENSMUSG00000036907	C1QL2
P04731	ENSG00000205362	P02798	ENSMUSG00000031762	MT1A
P53350	ENSG00000166851	Q07832	ENSMUSG00000030867	PLK1
O60284	ENSG00000147488	Q80TY4	ENSMUSG00000033740	ST18
A6NN14	ENSG00000196350	B8JJX8	ENSMUSG00000048280	ZNF729
A6NN14	ENSG00000279552	B8JJX8	ENSMUSG00000048280	ZNF729
P28068	ENSG00000242386	P35737	ENSMUSG00000079547	HLA-DMB
P28068	ENSG00000242092	P35737	ENSMUSG00000079547	HLA-DMB
P28068	ENSG00000241674	P35737	ENSMUSG00000079547	HLA-DMB
P28068	ENSG00000242574	P35737	ENSMUSG00000079547	HLA-DMB
P28068	ENSG00000239329	P35737	ENSMUSG00000079547	HLA-DMB
