Human Uniprot	Human Ensembl	Mouse Uniprot	Mouse Ensembl
Q9NPI8	ENSG00000183161	E9Q5Z5	ENSMUSG00000092118
O95857	ENSG00000106537	Q9D8C2	ENSMUSG00000020577
Q9BVG8	ENSG00000140859	O35231	ENSMUSG00000031788
Q86XK7	ENSG00000101842	Q9D2J4	ENSMUSG00000031430
Q07890	ENSG00000100485	Q02384	ENSMUSG00000034801
P17812	ENSG00000171793	P70698	ENSMUSG00000028633
Q5TZA2	ENSG00000058453	Q8CJ40	ENSMUSG00000040860
P05090	ENSG00000189058	P51910	ENSMUSG00000022548
P38567	ENSG00000106304	Q812F3	ENSMUSG00000029678
P05093	ENSG00000148795	P27786	ENSMUSG00000003555
Q9Y520	ENSG00000117523	Q3TLH4	ENSMUSG00000040225
Q9BUR4	ENSG00000141499	Q8VC51	ENSMUSG00000041346
Q96C74	ENSG00000145491	Q9EQ00	ENSMUSG00000022236
Q9H8X2	ENSG00000127080	Q6P1C1	ENSMUSG00000021385
Q86W24	ENSG00000158077	Q6B966	ENSMUSG00000016626
Q99714	ENSG00000072506	O08756	ENSMUSG00000025260
P42126	ENSG00000167969	P42125	ENSMUSG00000024132
Q8WWZ7	ENSG00000154265	Q8K448	ENSMUSG00000018800
Q5VWP2	ENSG00000183508	Q5SSF7	ENSMUSG00000044468
Q86WB0	ENSG00000091732	Q80YV2	ENSMUSG00000039130
Q96CM8	ENSG00000167107	Q8VCW8	ENSMUSG00000076435
O94900	ENSG00000198846	Q66JW3	ENSMUSG00000041272
Q96EL2	ENSG00000062582	Q9CQV5	ENSMUSG00000020477
O75027	ENSG00000131269	Q61102	ENSMUSG00000031333
Q9H1J7	ENSG00000111186	P22726	ENSMUSG00000030170
P56715	ENSG00000104237	P56716	ENSMUSG00000025900
P0DKV0	-	E9QAF0	ENSMUSG00000056223
Q8NBM8	ENSG00000145882	Q8C7K6	ENSMUSG00000024579
P48594	ENSG00000206073	G3X9V8	ENSMUSG00000044594
O15037	ENSG00000100441	Q80U38	ENSMUSG00000047153
Q8N5S3	ENSG00000177994	Q5SPV6	ENSMUSG00000040919
Q9Y266	ENSG00000090273	O35685	ENSMUSG00000028851
Q9P2B7	ENSG00000164323	Q6ZPR1	ENSMUSG00000031631
Q9NZW5	ENSG00000105926	Q9JLB0	ENSMUSG00000038388
P23025	ENSG00000136936	Q64267	ENSMUSG00000028329
Q8WW24	ENSG00000163060	Q149S1	ENSMUSG00000024175
Q9BW71	ENSG00000149929	Q8BLH7	ENSMUSG00000042606
Q96N67	ENSG00000116641	Q8R1A4	ENSMUSG00000028556
O94907	ENSG00000107984	O54908	ENSMUSG00000024868
P57087	ENSG00000154721	Q9JI59	ENSMUSG00000053062
A6NNU9	-	Q8C5Z3	ENSMUSG00000023165
Q3KNW5	ENSG00000145283	Q9CXB2	ENSMUSG00000029321
Q8N5U6	ENSG00000022840	Q3UIW5	ENSMUSG00000041740
Q14957	ENSG00000161509	Q01098	ENSMUSG00000020734
P68400	ENSG00000101266	O54833	ENSMUSG00000046707
Q96LB9	ENSG00000159527	A1A547	ENSMUSG00000042244
Q9NY43	ENSG00000143032	Q8VIB5	ENSMUSG00000034384
O00175	ENSG00000106178	Q9JKC0	ENSMUSG00000004814
Q9H013	ENSG00000135074	O35674	ENSMUSG00000011256
Q9NTJ3	ENSG00000113810	Q8CG47	ENSMUSG00000034349
Q99961	ENSG00000141985	Q62419	ENSMUSG00000003200
Q14296	ENSG00000164896	Q9JIX9	ENSMUSG00000028959
P23258	ENSG00000131462	P83887	ENSMUSG00000035198
Q9BT67	ENSG00000131507	Q8R0W6	ENSMUSG00000024425
P59901	ENSG00000277092; ENSG00000274185; ENSG00000276798; ENSG00000239961	P97484	ENSMUSG00000058818
Q9P298	ENSG00000131097	Q99JY6	ENSMUSG00000020928
Q2TAK8	ENSG00000160953	Q6DID5	ENSMUSG00000020156
Q9BYQ5	ENSG00000198090	B1AQA8	ENSMUSG00000089724
O43240	ENSG00000129451	Q99M20	ENSMUSG00000030693
P35475	ENSG00000127415	P48441	ENSMUSG00000033540
Q96KF7	ENSG00000111850	Q9CQQ0	ENSMUSG00000028295
Q92750	ENSG00000141384	G5E8Z2	ENSMUSG00000054321
Q96PK6	ENSG00000248643; ENSG00000239306	Q8C2Q3	ENSMUSG00000006456
Q8IXV7	ENSG00000185909	Q9D2D9	ENSMUSG00000032609
Q15697	ENSG00000103343	B9EJW5	ENSMUSG00000054939
Q6N021	ENSG00000168769	Q4JK59	ENSMUSG00000040943
Q96RI9	ENSG00000237110	Q5QD04	ENSMUSG00000037424
Q9H2X6	ENSG00000064393	Q9QZR5	ENSMUSG00000061436
O43283	ENSG00000073803	Q1HKZ5	ENSMUSG00000033618
Q9Y231	ENSG00000172461	O88819	ENSMUSG00000055373
Q9Y305	ENSG00000123130	Q32MW3	ENSMUSG00000047565
P30953	ENSG00000180016	Q7TRX9	ENSMUSG00000062128
O14531	ENSG00000151640	O35098	ENSMUSG00000025478; ENSMUSG00000111393
Q14CN4	ENSG00000170486	Q6IME9	ENSMUSG00000056605
Q01362	ENSG00000149534	P20490	ENSMUSG00000024680
Q9NPA0	ENSG00000134153	Q9EP72	ENSMUSG00000055943
P21359	ENSG00000196712	Q04690	ENSMUSG00000020716
Q96M93	ENSG00000164113	Q5SUE7	ENSMUSG00000027719
Q92520	ENSG00000196937	Q91VU0	ENSMUSG00000029672
P19113	ENSG00000140287	P23738	ENSMUSG00000027360
Q9HD45	ENSG00000077147	Q9ET30	ENSMUSG00000025016
P98174	ENSG00000102302	P52734	ENSMUSG00000025265
Q9BQE9	ENSG00000106635	Q921K9	ENSMUSG00000029681
Q15125	ENSG00000147155	P70245	ENSMUSG00000031168
Q8N5M9	ENSG00000171135	Q5XKN4	ENSMUSG00000051256
Q8NBK3	ENSG00000144455	Q8R0F3	ENSMUSG00000030101
P10451	ENSG00000118785	P10923	ENSMUSG00000029304
Q6UXI9	ENSG00000168743	Q91V88	ENSMUSG00000040998
Q8WV35	ENSG00000125122	F6SF53	ENSMUSG00000041679
P42338	ENSG00000051382	Q8BTI9	ENSMUSG00000032462
Q13356	ENSG00000100023	Q9D787	ENSMUSG00000022771
Q3SY46	ENSG00000240432	Q8K198	ENSMUSG00000056350
Q9Y4C2	ENSG00000198420	Q8BNE1	ENSMUSG00000036667
Q86TI4	ENSG00000187260	D3Z757	ENSMUSG00000055235
A4D1U4	ENSG00000257093; ENSG00000262599	Q3UHG7	ENSMUSG00000037172
P11684	ENSG00000149021	Q06318	ENSMUSG00000024653
Q8IU80	ENSG00000187045	Q9DBI0	ENSMUSG00000016942
Q8TBF4	ENSG00000139168	Q9CZ96	ENSMUSG00000022635
Q9NRM6	ENSG00000056736	Q9JIP3	ENSMUSG00000015966
Q8N8A6	ENSG00000185163	Q6P9R1	ENSMUSG00000029504
P58182	ENSG00000233481; ENSG00000225247; ENSG00000227446; ENSG00000204690; ENSG00000280236; ENSG00000235966	Q920Z0	ENSMUSG00000092077
Q8NGQ4	ENSG00000180475	Q8VGP8	ENSMUSG00000050865
Q8WZ92	ENSG00000276025; ENSG00000280931; ENSG00000183303	Q8VG13	ENSMUSG00000061000
O43325	ENSG00000102897	Q9CQB7	ENSMUSG00000030922
P35030	ENSG00000010438	Q9R0T7	ENSMUSG00000054106
Q96PB1	ENSG00000127995	Q7TN73	ENSMUSG00000015189
Q9BU19	ENSG00000171163	Q3U381	ENSMUSG00000037243
Q5VZB9	ENSG00000176399	Q8CFG4	ENSMUSG00000043753
Q8N461	ENSG00000127585	A2RT62	ENSMUSG00000025738
P0DJD7	ENSG00000229183	Q9D106	ENSMUSG00000024738
Q14161	ENSG00000139436	Q9JLQ2	ENSMUSG00000041890
Q6UX40	ENSG00000179029	Q9CPV0	ENSMUSG00000020895
O15372	ENSG00000147677	Q91WK2	ENSMUSG00000022312
O43251	ENSG00000100320; ENSG00000277564	Q8BP71	ENSMUSG00000033565
Q8N309	ENSG00000158113	Q3V0L5	ENSMUSG00000063409
Q9NYK6	ENSG00000154642	Q9D7G4	ENSMUSG00000022864
P24310	ENSG00000161281	P56392	ENSMUSG00000074218
Q9C0B6	ENSG00000198797	Q6DFY8	ENSMUSG00000004031
Q9NPG3	ENSG00000118900	Q4G0F8	ENSMUSG00000039473
Q9ULI1	ENSG00000174145	Q6P5U7	ENSMUSG00000090061
A6NDG6	ENSG00000184207	Q8CHP8	ENSMUSG00000043445
Q12815	ENSG00000135451	B7ZNG4	ENSMUSG00000032783
Q9NQ66	ENSG00000182621	Q9Z1B3	ENSMUSG00000051177
Q6AI12	ENSG00000154945	Q5SUE8	ENSMUSG00000020864
P32456	ENSG00000162645	Q9Z0E6	ENSMUSG00000028270
Q96FN4	ENSG00000140848	P59108	ENSMUSG00000034361
P40933	ENSG00000164136	P48346	ENSMUSG00000031712
A6NJ78	ENSG00000169519	Q9DCL4	ENSMUSG00000057234
Q8IYF3	ENSG00000120498	Q14AT2	ENSMUSG00000009670
Q16385	ENSG00000268447; ENSG00000241476	A2BI73	ENSMUSG00000079704
Q9HD89	ENSG00000104918	Q99P87	ENSMUSG00000012705
P07951	ENSG00000198467	P58774	ENSMUSG00000028464
Q92698	ENSG00000085999	P70270	ENSMUSG00000028702
Q2TBA0	ENSG00000157119	Q9D783	ENSMUSG00000074001
Q9H492	ENSG00000101460	Q91VR7	ENSMUSG00000027602
P02708	ENSG00000138435	P04756	ENSMUSG00000027107
Q96J88	ENSG00000133106	Q8VDI1	ENSMUSG00000022014
Q96F05	ENSG00000171067	Q9D8N1	ENSMUSG00000035372
P21452	ENSG00000075073	P30549	ENSMUSG00000020081
Q96JF0	ENSG00000144057	Q76K27	ENSMUSG00000098633; ENSMUSG00000024172
O75899	ENSG00000136928	Q80T41	ENSMUSG00000039809
P0DI80	ENSG00000259120	Q3U0I6	ENSMUSG00000075420
P01350	ENSG00000184502	P48757	ENSMUSG00000017165
Q495B1	ENSG00000166839	F8VQ39	ENSMUSG00000066510
Q96QK1	ENSG00000069329	Q9EQH3	ENSMUSG00000031696
Q6T423	ENSG00000196600	Q8VCA0	ENSMUSG00000024757
Q9P2A4	ENSG00000108798	Q8BYZ1	ENSMUSG00000018381
Q15035	ENSG00000065308	Q924Z5	ENSMUSG00000041779
Q8IW00	ENSG00000165633	D3YXI4	-
P51397	ENSG00000112977	Q91XC8	ENSMUSG00000039168
F5H697	-	Q3UWR2	ENSMUSG00000067750
P63252	ENSG00000123700	P35561	ENSMUSG00000041695
O60879	ENSG00000147202	O70566	ENSMUSG00000034480
P23508	ENSG00000171444	E9PWI3	ENSMUSG00000071856
Q8NAM6	ENSG00000180532	E9Q3G0	ENSMUSG00000095339
Q8NG48	ENSG00000140471	Q3U1D0	ENSMUSG00000053091
Q6PI77	ENSG00000198908	Q6PB60	ENSMUSG00000072964
Q9H5Q4	ENSG00000162851	Q3TL26	ENSMUSG00000026492
Q5VVQ6	ENSG00000180667	Q8CB27	ENSMUSG00000046404
P08397	ENSG00000256269; ENSG00000281702	P22907	ENSMUSG00000032126
Q8IWT3	ENSG00000112659	Q80TT8	ENSMUSG00000040327
Q02928	ENSG00000187048	A2A8T1	ENSMUSG00000063929
Q92504	ENSG00000206288; ENSG00000224399; ENSG00000227402; ENSG00000229802; ENSG00000226614; ENSG00000112473	Q31125	ENSMUSG00000024327
P05013	ENSG00000120235	Q810G3	ENSMUSG00000095896
B3SHH9	ENSG00000232258	Q9D563	ENSMUSG00000022715
P51572	ENSG00000185825	Q61335	ENSMUSG00000002015
Q9BYR9	ENSG00000262862; ENSG00000212724; ENSG00000263091; ENSG00000213417	Q9D3H4	ENSMUSG00000060756; ENSMUSG00000057674; ENSMUSG00000058725
Q6IN85	ENSG00000100796	Q6P2K6	ENSMUSG00000041846
P0DJR0	ENSG00000250298	E9PW74	ENSMUSG00000091721
Q86VR8	ENSG00000179431	Q8BQB4	ENSMUSG00000075012
Q6IQ19	ENSG00000154429	Q8QZT2	ENSMUSG00000031971
Q9NWS6	ENSG00000100376	Q91YN1	ENSMUSG00000022434
Q96R28	ENSG00000198601	Q8VF87	ENSMUSG00000050742
K7ELQ4	-	Q8R0S1	ENSMUSG00000099083
Q2KHT3	ENSG00000038532	Q80U30	ENSMUSG00000068663
O14594	ENSG00000130287	P55066	ENSMUSG00000002341
Q9GZK4	ENSG00000206471; ENSG00000229408; ENSG00000206516; ENSG00000229125; ENSG00000232984; ENSG00000204688; ENSG00000235132; ENSG00000224395	Q6UAH1	ENSMUSG00000091601
A0PJX4	ENSG00000178343	Q3UPR0	ENSMUSG00000050010
Q8N9R8	ENSG00000173611	Q8C8N2	ENSMUSG00000035236
P53671	ENSG00000182541	O54785	ENSMUSG00000020451
O95379	ENSG00000145779	Q921Z5	ENSMUSG00000062210
O95400	ENSG00000169217	Q9CWK3	ENSMUSG00000042502
Q15723	ENSG00000109381	Q9JHC9	ENSMUSG00000037174
Q9Y592	ENSG00000173588	Q9D5R3	ENSMUSG00000020024
P12111	ENSG00000163359	E9PWQ3	ENSMUSG00000048126
Q6WRX3	ENSG00000203995	A2BFL2	ENSMUSG00000034645
Q9H310	ENSG00000132677	Q8BUX5	ENSMUSG00000104445
O00168	ENSG00000266964	Q9Z239	ENSMUSG00000036570
Q9UI32	ENSG00000135423	Q571F8	ENSMUSG00000044005
Q9UBX7	ENSG00000167757	Q9QYN3	ENSMUSG00000067616
P23743	ENSG00000065357	O88673	ENSMUSG00000025357
P35499	ENSG00000007314	Q9ER60	ENSMUSG00000001027
P30511	ENSG00000234487; ENSG00000229698; ENSG00000237508; ENSG00000137403; ENSG00000235220; ENSG00000206509; ENSG00000204642	P01901	ENSMUSG00000061232
Q03135	ENSG00000105974	P49817	ENSMUSG00000007655
Q9Y2W6	ENSG00000182134	Q80VL1	ENSMUSG00000041912
Q712K3	ENSG00000107341	Q6ZWZ2	ENSMUSG00000036241
Q13748	ENSG00000075886; ENSG00000198033	P05214	ENSMUSG00000067702; ENSMUSG00000067338
Q6UX39	ENSG00000187689	Q9D3J8	ENSMUSG00000029282
A8K4G0	ENSG00000178789	Q3U497	ENSMUSG00000063193
Q8TBC5	ENSG00000121413	E9PUD6	ENSMUSG00000070822
P07602	ENSG00000197746	Q61207	ENSMUSG00000004207
Q96A32	ENSG00000180209	P97457	ENSMUSG00000030672
Q8NGD2	ENSG00000165762	E9Q8M3	ENSMUSG00000109835
P07900	ENSG00000080824	P07901	ENSMUSG00000021270
Q9H6B9	ENSG00000105131	Q3V1F8	ENSMUSG00000037577
P07199	ENSG00000125817	P27790	ENSMUSG00000068267
P60371	ENSG00000188155	J3QK30	-
Q96LR4	ENSG00000163377	Q7TPG5	ENSMUSG00000046500
P51688	ENSG00000181523	Q9EQ08	ENSMUSG00000005043
Q9UPE1	ENSG00000184343	Q9Z0G2	ENSMUSG00000002007
O43422	ENSG00000137492	Q9CUX1	ENSMUSG00000030753
Q9NYF3	ENSG00000120709	Q8BXQ8	ENSMUSG00000034300
Q9NUD7	ENSG00000196476	Q8BJX2	ENSMUSG00000032680
O75344	ENSG00000077800	Q91XW8	ENSMUSG00000040013
Q99743	ENSG00000170485	P97460	ENSMUSG00000026077
Q96KW2	ENSG00000158553	Q5SW25	ENSMUSG00000016982
Q8TAP4	ENSG00000048540	Q8BZL8	ENSMUSG00000030226
Q9NRZ7	ENSG00000160216	Q9D517	ENSMUSG00000001211
A8MYA2	ENSG00000215113; ENSG00000215115	F6R3T1	ENSMUSG00000046774
P00995	ENSG00000164266	P09036	ENSMUSG00000024503
Q9NY46	ENSG00000153253	A2ASI5	ENSMUSG00000057182
Q3ZCQ3	ENSG00000185442	Q8K064	ENSMUSG00000078670
P27701	ENSG00000085117	P40237	ENSMUSG00000027215
Q6U736	ENSG00000124818	Q6VZZ7	ENSMUSG00000043972
P57059	ENSG00000142178; ENSG00000275993	Q60670	ENSMUSG00000024042
Q96HR8	ENSG00000145414	Q3UMQ8	ENSMUSG00000014907
Q9UJM3	ENSG00000116285	Q99JZ7	ENSMUSG00000028967
O43374	ENSG00000105808	Q6PFQ7	ENSMUSG00000004952
Q96BW9	ENSG00000279643; ENSG00000144559	Q3TUH1	ENSMUSG00000030316
O95183	ENSG00000168899	Q9Z2P8	ENSMUSG00000073002; ENSMUSG00000102671
P33764	ENSG00000188015	P62818	ENSMUSG00000001021
Q01804	ENSG00000164164	B2RRE7	ENSMUSG00000036990
Q17RB8	ENSG00000154359	D3YY23	ENSMUSG00000039633
Q92521	ENSG00000069943	Q9JJQ0	ENSMUSG00000079469
O00257	ENSG00000141582	O55187	ENSMUSG00000039989
P56597	ENSG00000112981	Q99MH5	ENSMUSG00000035984
Q92625	ENSG00000064999	P59672	ENSMUSG00000024219
Q8IWP9	ENSG00000024862	Q8CEI3	ENSMUSG00000059554
Q7L576	ENSG00000280618; ENSG00000273749	Q7TMB8	ENSMUSG00000030447
Q5J8M3	ENSG00000128463	Q9CZX9	ENSMUSG00000027131
O75426	ENSG00000106336	Q9D417	ENSMUSG00000089984
Q96FK6	ENSG00000140006	Q9D0R9	ENSMUSG00000045690
A8MZF0	-	Q8C494	ENSMUSG00000043795
Q8N2G4	ENSG00000150551	Q8BLC3	ENSMUSG00000026344
Q00532	ENSG00000100490	Q8CEQ0	ENSMUSG00000020990
O95718	ENSG00000119715	Q61539	ENSMUSG00000021255
P15813	ENSG00000158473	P11609	ENSMUSG00000028076
P17677	ENSG00000172020	P06837	ENSMUSG00000047261
P04040	ENSG00000121691	P24270	ENSMUSG00000027187
Q8N8B7	ENSG00000176896	Q3US16	ENSMUSG00000051224
Q9UBM4	ENSG00000188770	Q920A0	ENSMUSG00000010311
Q8NEJ0	ENSG00000167065	Q8VE01	ENSMUSG00000047205
Q5SQN1	ENSG00000143740	Q8R570	ENSMUSG00000009894
O75462	ENSG00000006016	Q9JM58	ENSMUSG00000007888
Q9NSA3	ENSG00000178585	Q9JJN6	ENSMUSG00000028988
Q8NHM4	-	Q9QUK9	ENSMUSG00000036938
Q6IEZ7	ENSG00000273827; ENSG00000203661; ENSG00000275102	M9MMK4	ENSMUSG00000064252
Q9NXR5	ENSG00000088448	Q99LW0	ENSMUSG00000031508
Q9BRI3	ENSG00000158014	Q2HJ10	ENSMUSG00000028836
Q7Z5H5	ENSG00000228567	Q8R296	ENSMUSG00000058030
Q96PF2	ENSG00000206203	O54863	ENSMUSG00000045521
Q9H2Y9	ENSG00000137571	E9PVD9	ENSMUSG00000025938
P40121	ENSG00000042493	P24452	ENSMUSG00000056737
O95484	ENSG00000213937	Q9Z0S7	ENSMUSG00000066720
P30740	ENSG00000021355	Q8VHP7	ENSMUSG00000051029
Q9UBU9	ENSG00000162231	Q99JX7	ENSMUSG00000010097
Q5JXX5	ENSG00000188828	Q61603	ENSMUSG00000018595
Q9BRP8	ENSG00000170473	Q8CHP5	ENSMUSG00000064030
O95835	ENSG00000131023	Q8BYR2	ENSMUSG00000040021
O00241	ENSG00000101307	Q3U390	ENSMUSG00000095028
Q9Y227	ENSG00000197217	Q9DBT4	ENSMUSG00000095463; ENSMUSG00000022066
P08913	ENSG00000150594	Q01338	ENSMUSG00000033717
Q2TAA2	ENSG00000134330	Q9DB29	ENSMUSG00000062054
Q14953	ENSG00000274739; ENSG00000276676	Q673W2	ENSMUSG00000057439
O95007	ENSG00000221813	Q8VGW8	ENSMUSG00000049168
O15047	ENSG00000099381	E9PYH6	ENSMUSG00000042308
Q9P2N7	ENSG00000003096	Q80TF4	ENSMUSG00000036782
P01861	-	P01865	-
Q9Y5K5	ENSG00000116750	Q9WUP7	ENSMUSG00000018189
Q7RTV5	ENSG00000158122	Q9D1A0	ENSMUSG00000021482
Q9Y330	ENSG00000234196; ENSG00000204366; ENSG00000234852; ENSG00000237900; ENSG00000206366	Q9Z150	ENSMUSG00000049823
Q9BXR0	ENSG00000213339	Q9JMA2	ENSMUSG00000002825
P21145	ENSG00000172005	O09198	ENSMUSG00000027375
Q86T03	ENSG00000165782	Q3TWL2	ENSMUSG00000035953
Q8TB73	ENSG00000173376	Q8C119	ENSMUSG00000049001
Q95604	ENSG00000233841; ENSG00000206435; ENSG00000228299; ENSG00000206452; ENSG00000237022; ENSG00000225691; ENSG00000204525	Q8HWB2	ENSMUSG00000035929
Q9NRZ9	ENSG00000119969	Q60848	ENSMUSG00000025001
Q8IY42	ENSG00000154274	Q99K99	ENSMUSG00000060512
P01860	-	P01869	-
Q9BXB7	ENSG00000144962	Q8C636	ENSMUSG00000039335
Q96GM1	ENSG00000105520	Q8VCY8	ENSMUSG00000040563
Q9Y462	ENSG00000147180	A2ANX9	ENSMUSG00000025529
Q8N3Z0	ENSG00000146250	Q8C0F9	ENSMUSG00000033491
Q8NH61	ENSG00000176925	E9Q554	ENSMUSG00000073965
O95433	ENSG00000100591	Q8BK64	ENSMUSG00000021037
Q5TEZ5	ENSG00000203872	Q3V037	ENSMUSG00000071015
P07477	ENSG00000204983; ENSG00000274247	Q9QUK9	ENSMUSG00000036938
Q06495	ENSG00000131183	Q60825	ENSMUSG00000021490
O43482	ENSG00000104147	A2AQ14	ENSMUSG00000072980
O14610	ENSG00000167083	Q61017	ENSMUSG00000038811
P11021	ENSG00000044574	P20029	ENSMUSG00000026864
Q8IYT1	ENSG00000162771	B7XG49	ENSMUSG00000091017
Q7Z2V1	ENSG00000234186	F6XVR9	-
Q8N743	ENSG00000242019; ENSG00000283823; ENSG00000278723; ENSG00000277596; ENSG00000274763; ENSG00000277028; ENSG00000274254; ENSG00000276086; ENSG00000277552; ENSG00000276433; ENSG00000275433; ENSG00000276572; ENSG00000274511; ENSG00000274724; ENSG00000274696; ENSG00000277392; ENSG00000284104; ENSG00000284086; ENSG00000273502; ENSG00000276084; ENSG00000284127; ENSG00000278490; ENSG00000274556; ENSG00000276806; ENSG00000275172; ENSG00000283966; ENSG00000274394; ENSG00000275513; ENSG00000276930; ENSG00000277620; ENSG00000283915; ENSG00000275062; ENSG00000276196; ENSG00000283875; ENSG00000284371; ENSG00000284480; ENSG00000276875; ENSG00000274639; ENSG00000278729; ENSG00000276328; ENSG00000274786; ENSG00000274480	P83555	ENSMUSG00000031424
Q04837	ENSG00000106028; ENSG00000262771	Q9CYR0	ENSMUSG00000029911
Q9HC29	ENSG00000167207	Q8K3Z0	ENSMUSG00000055994
Q8NF64	ENSG00000122515	Q8CIE2	ENSMUSG00000041164
Q9BUE6	ENSG00000135070	I3ITR1	-
Q01523	ENSG00000164816	P50707	-
Q99102	ENSG00000273822; ENSG00000278303; ENSG00000275164; ENSG00000276613; ENSG00000277585; ENSG00000145113; ENSG00000273984; ENSG00000278468	Q8JZM8	ENSMUSG00000079620
Q9UFW8	ENSG00000163320	Q8BHG9	ENSMUSG00000054604
O60928	ENSG00000115474	P86046	ENSMUSG00000079436
Q8N2Z9	ENSG00000251503; ENSG00000175279	Q9D084	ENSMUSG00000073705
P10114	ENSG00000125249	Q80ZJ1	ENSMUSG00000051615
Q14765	ENSG00000138378	P42228	ENSMUSG00000062939
A1L4H1	ENSG00000179954	Q8BV57	ENSMUSG00000035279
Q9H825	ENSG00000123600	A2AUU0	ENSMUSG00000041975
Q8IZ69	ENSG00000099899	Q8BNV1	ENSMUSG00000022721; ENSMUSG00000098930
Q6UXB2	ENSG00000189377	Q5UW37	ENSMUSG00000060188
Q96R08	ENSG00000172362	Q8VFW9	ENSMUSG00000045126
O95158	ENSG00000182379	G3X9N5	ENSMUSG00000040258
Q96JD6	ENSG00000165568	Q9DCT1	ENSMUSG00000045410
P52657	ENSG00000140307	Q80ZM7	ENSMUSG00000033543
Q9BUF5	ENSG00000176014	Q922F4	ENSMUSG00000001473
Q5VWC8	ENSG00000188921	A2AKM2	ENSMUSG00000028497
P35914	ENSG00000117305	P38060	ENSMUSG00000028672
A6NMV5	ENSG00000270601; ENSG00000282424; ENSG00000283150; ENSG00000276420	Q9D2F1	ENSMUSG00000028591
Q12772	ENSG00000198911	Q3U1N2	ENSMUSG00000022463
P11801	ENSG00000159792	Q91YA2	ENSMUSG00000048310
Q8NB59	ENSG00000143469	Q7TN84	ENSMUSG00000016200
Q86YZ3	ENSG00000197915	Q8VHD8	ENSMUSG00000041991
Q9BRQ4	ENSG00000137691	Q8CC70	ENSMUSG00000053070
P17612	ENSG00000072062	P05132	ENSMUSG00000005469
Q96T91	ENSG00000149735	Q925Q5	ENSMUSG00000107297; ENSMUSG00000024784
Q12905	ENSG00000143621	Q9CXY6	ENSMUSG00000001016
Q8WUT4	ENSG00000125872	P59383	ENSMUSG00000043110
Q9Y6H1	ENSG00000106153	Q9D1L0	ENSMUSG00000070493
Q6VB84	ENSG00000187559	Q60688	ENSMUSG00000051490
Q96PT3	-	Q2MDF7	ENSMUSG00000079628
Q8TDI7	ENSG00000149488	Q8R4P4	ENSMUSG00000060332
P10243	ENSG00000185697	P51960	ENSMUSG00000025912
A8MXZ1	-	Q9D4F3	-
P47775	ENSG00000132975	P35412	ENSMUSG00000041468
P14653	ENSG00000120094	P17919	ENSMUSG00000018973
Q01523	ENSG00000164816	Q64016	ENSMUSG00000060208
Q99999	ENSG00000128242	Q9JHE4	ENSMUSG00000049721
Q9BZF1	ENSG00000091039	B9EJ86	ENSMUSG00000020189
P02730	ENSG00000004939	P04919	ENSMUSG00000006574
Q96A65	ENSG00000131558	O35382	ENSMUSG00000029763
P51826	ENSG00000144218	P51827	ENSMUSG00000037138
P0C874	ENSG00000186788	E9QA35	ENSMUSG00000050876
Q15270	ENSG00000235608	G3UXB3	ENSMUSG00000029112
Q7Z3T8	ENSG00000039319	Q80U44	ENSMUSG00000021706
Q9UEU0	ENSG00000100568	O88384	ENSMUSG00000021124
Q9BZV3	ENSG00000081148	Q80XH2	ENSMUSG00000035270
P62244	ENSG00000134419	P62245	ENSMUSG00000008683
O75364	ENSG00000107859	O35160	ENSMUSG00000025229
Q13319	ENSG00000171450	O35926	ENSMUSG00000090071
Q562F6	ENSG00000163535	J3QMK1	ENSMUSG00000094443
Q8N3U4	ENSG00000101972	O35638	ENSMUSG00000025862
P58499	ENSG00000183844	Q9D309	ENSMUSG00000022938
Q9Y232	ENSG00000153046	Q9WTK2	ENSMUSG00000059288
Q8IWV2	ENSG00000144619	Q69Z26	ENSMUSG00000064293
Q96P67	ENSG00000171657	Q8BZR0	ENSMUSG00000047678
Q6PCB6	ENSG00000136379	Q8VCV1	ENSMUSG00000038459
O75436	ENSG00000122958	P40336	ENSMUSG00000020078
P45880	ENSG00000165637	Q60930	ENSMUSG00000021771
Q5T4T6	ENSG00000153157	D3YWV8	ENSMUSG00000038651
Q14714	ENSG00000123096	Q62147	ENSMUSG00000030255
P19235	ENSG00000187266	P14753	ENSMUSG00000006235
O00754	ENSG00000104774	O09159	ENSMUSG00000005142
Q9UN86	ENSG00000138757	P97379	ENSMUSG00000029405
P57764	ENSG00000278718; ENSG00000104518	Q9D8T2	ENSMUSG00000022575
O43678	ENSG00000131495	Q9CQ75	ENSMUSG00000014294
Q494R4	ENSG00000248712	P0C7Q1	ENSMUSG00000070306
O95139	ENSG00000165264	Q3UIU2	ENSMUSG00000071014
Q9H293	ENSG00000166090	Q8VHH8	ENSMUSG00000040770
Q8NHV4	ENSG00000139350	P33215	ENSMUSG00000019988
Q8WVM0	ENSG00000029639	Q8JZM0	ENSMUSG00000036983
O43247	ENSG00000185264	Q9D9J2	ENSMUSG00000062154
Q95604	ENSG00000233841; ENSG00000206435; ENSG00000228299; ENSG00000206452; ENSG00000237022; ENSG00000225691; ENSG00000204525	P14430	ENSMUSG00000073409
O43347	ENSG00000135097	Q61474	ENSMUSG00000054256
O75165	ENSG00000138246	G3X922	ENSMUSG00000032560
P40424	ENSG00000185630	P41778	ENSMUSG00000052534
Q9NYW6	ENSG00000127362	Q7TQA7	ENSMUSG00000052850
